id;date;data;image;image_content_type;title;description
1;2024-02-13;pschitt;../fake-data/blob/hipster.png;image/png;là aux environs de dès que;revoir
2;2024-02-12;timide;../fake-data/blob/hipster.png;image/png;ici blesser de façon que;à peine perplexe
3;2024-02-13;carrément;../fake-data/blob/hipster.png;image/png;à condition que;assez en plus de avant que
4;2024-02-13;à même chef de cuisine;../fake-data/blob/hipster.png;image/png;en outre de dans la mesure où;déchiffrer
5;2024-02-13;personnel sale;../fake-data/blob/hipster.png;image/png;coupable;bè dedans brusque
6;2024-02-13;ouille;../fake-data/blob/hipster.png;image/png;sans;depuis loufoque dès que
7;2024-02-13;bang;../fake-data/blob/hipster.png;image/png;innombrable au dépens de;apte
8;2024-02-13;fidèle atchoum;../fake-data/blob/hipster.png;image/png;aujourd'hui participer hé;ah
9;2024-02-13;sans que a brusque;../fake-data/blob/hipster.png;image/png;depuis porte-parole;vis-à-vie de direction après
10;2024-02-13;de peur que secours;../fake-data/blob/hipster.png;image/png;groin groin;en
