id;titre;file;file_content_type
1;maintenant;../fake-data/blob/hipster.png;image/png
2;quand entièrement areu areu;../fake-data/blob/hipster.png;image/png
3;par rapport à ouf avant;../fake-data/blob/hipster.png;image/png
4;soit coac coac;../fake-data/blob/hipster.png;image/png
5;soit loin broum;../fake-data/blob/hipster.png;image/png
6;mairie;../fake-data/blob/hipster.png;image/png
7;police;../fake-data/blob/hipster.png;image/png
8;sous interpréter meubler;../fake-data/blob/hipster.png;image/png
9;cot cot demander;../fake-data/blob/hipster.png;image/png
10;vaste cocorico;../fake-data/blob/hipster.png;image/png
