id;classe;tp;td
1;retracer ouah volontiers;comporter prestataire de services;feindre
2;ensemble dans la mesure où cadre;toc-toc;au point que
3;ding combattre;outre;soit de crainte que tant
4;en boire;obtenir dès que plic;que
5;chut;snif;après-demain hebdomadaire
6;après que jusqu’à ce que;dynamique;exposer tellement
7;pourvu que;lors de quelquefois;tic-tac avex
8;d’autant que rectorat gigantesque;en bas de suivant;plouf jeune enfant
9;de manière à ce que biathlète bè;incliner tantôt personnel;lors de cuicui sus
10;trop;jeune enfant autour à l'instar de;vu que atchoum
